data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8166171,566,NIG21086,21086,"18 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)",,6,,,0,60,"Western Africa",Nigeria,"Federal Capital Territory","Abuja Municipal",,Abuja,9.0833,7.5333,1,Blueprint,National,"On 18 June 2021, over 100 residents of Paradise Estate staged a protest in Abuja (Abuja Municipal LGA, FCT) over the citing of a school for less privilege children in the estate. [size=over 100]",0,1624310472,NGA
8166178,566,NIG21087,21087,"18 June 2021",2021,1,Battles,"Armed clash","Military Forces of Nigeria (2015-)",,1,"Kebbi Communal Militia (Nigeria)",,4,14,"Western Africa",Nigeria,Kebbi,Birnin-Kebbi,,"Birnin Kebbi",12.4539,4.1975,3,Blueprint,National,"On 18 June 2021, Nigerian military troops clashed with a Kebbi communal militia at Sombo community in Kebbi State (location coded to Birnin Kebbi) and rescued two kidnapped staff and five female students earlier abducted. Military troops also recovered 800 cattle rustled by the militiamen.",0,1624310472,NGA
8166487,854,BFO4827,4827,"18 June 2021",2021,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"VDP: Volunteer for Defense of Homeland",,4,24,"Western Africa","Burkina Faso",Nord,Loroum,Ouindigui,Hitte,13.7547,-1.8406,1,Signal,"New media","On 18 June 2021, presumed JNIM militants attacked the village of Hitte (Ouindigui, Loroum). Volunteer fighters (VDP) responded to the attack. No casualties were reported.",0,1624310473,BFA
8166247,566,NIG21088,21088,"18 June 2021",2021,2,"Violence against civilians",Attack,"Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)",4,"Civilians (Nigeria)","Health Workers (Nigeria)",7,47,"Western Africa",Nigeria,Niger,Magama,,Salka,10.3135,4.9728,1,"Daily Independent (Nigeria)",National,"Around 18 June 2021 (as reported), suspected Fulani pastoralists abducted and killed a medical doctor in Salka (Magama LGA, Niger). Unknown reason for attack.",1,1624310472,NGA
8166017,478,MAA1204,1204,"18 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Mauritania)",,6,,,0,60,"Western Africa",Mauritania,Nouakchott-Ouest,Nouakchott,Nouakchott,Nouakchott,18.0801,-15.9777,1,"Adrar Info; Al Akhbar (Mauritania)",National,"On 18 June 2021, citizens held a sit-in in front of the Palace of Justice in Nouakchott (Nouakchott), to demand the liberation of their relatives for their participation to the Central Bank corruption scandal NBM. [size=no report]",0,1624310472,MRT
8166018,478,MAA1205,1205,"18 June 2021",2021,1,Protests,"Protest with intervention","Protesters (Mauritania)","Muslim Group (Mauritania)",6,"Police Forces of Mauritania (2009-)",,1,16,"Western Africa",Mauritania,Nouakchott-Ouest,Nouakchott,Nouakchott,Nouakchott,18.0801,-15.9777,1,"Adrar Info; Al Akhbar (Mauritania)",National,"On 18 June 2021, the Mauritanian police intervened to disperse a march held by citizens after the Friday prayer heading to the Presidential Palace in Nouakchott (Nouakchott). They were demanding the application of Shariah law against perpetrators of homicides and rapes in the country. [size=no report]",0,1624310472,MRT
8166042,466,MLI5241,5241,"18 June 2021",2021,1,"Violence against civilians","Abduction/forced disappearance","Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,"Civilians (Mali)","Teachers (Mali); Dogon Ethnic Group (Mali)",7,27,"Western Africa",Mali,Mopti,Koro,"Dougoutene I",Toroli,13.9219,-3.2204,1,"Le Pays Dogon; Signal","New media-Subnational","On 18 June 2021, presumed Katiba Macina (JNIM) militants abducted a male teacher from the Dogon community in the village of Toroli (Koro, Mopti).",0,1624310472,MLI
8166570,854,BFO4826,4826,"18 June 2021",2021,1,Battles,"Armed clash","Military Forces of Burkina Faso (2015-)",,1,"JNIM: Group for Support of Islam and Muslims",,2,12,"Western Africa","Burkina Faso",Sahel,Yagha,Mansila,Banga,13.1877,0.8266,2,"Undisclosed Source","Local partner-Other","On 18 June 2021, the Burkinabe army conducted a combined air-ground operation against presumed JNIM militants in the area of Banga (Mansila, Yagha). Around forty militants were killed, others wounded, and vehicles and motorcycles destroyed.",40,1624310473,BFA
8166209,566,NIG21085,21085,"17 June 2021",2021,1,Battles,"Armed clash","Military Forces of Nigeria (2015-)","Police Forces of Nigeria (2015-); Yansakai Militia",1,"Niger Communal Militia (Nigeria)",,4,14,"Western Africa",Nigeria,Niger,Rijau,,Warari,10.9402,5.308,1,"Concise News",National,"On 17 June 2021, Nigerian military and police with local Yansakai militiamen clashed with a Niger communal militia at Uddu, Rijau, Sabon Gari Ushe, and Warari communities (Rijau LGA, Niger). Reported fatalities. Suspects were also arrested. Unknown fatalities coded as 3. Fatalities split across four events.",1,1624310472,NGA
8166210,566,NIG21084,21084,"17 June 2021",2021,1,Battles,"Armed clash","Military Forces of Nigeria (2015-)","Police Forces of Nigeria (2015-); Yansakai Militia",1,"Niger Communal Militia (Nigeria)",,4,14,"Western Africa",Nigeria,Niger,Rijau,,Ushe,11.1427,5.0215,1,"Concise News",National,"On 17 June 2021, Nigerian military and police with local Yansakai militiamen clashed with a Niger communal militia at Uddu, Rijau, Sabon Gari Ushe (Ushe), and Warari communities (Rijau LGA, Niger). Reported fatalities. Suspects were also arrested. Unknown fatalities coded as 3. Fatalities split across four events.",1,1624310472,NGA
